anio_fuego,dtot,df,ini_dia,ini_fecha,fin_dia,fin_fecha,lon,n50,c10,parcial,provisional,pocas_detecciones
2001,775,99,160,2001-02-07,245,2001-05-03,86,19,31.4,TRUE,FALSE,FALSE
2002,599,107,133,2002-01-11,243,2002-05-01,111,17,37.7,FALSE,FALSE,FALSE
2003,1657,162,131,2003-01-09,232,2003-04-20,102,24,29.4,FALSE,FALSE,FALSE
2004,1399,153,144,2004-01-22,235,2004-04-22,92,22,32,FALSE,FALSE,FALSE
2005,1008,151,125,2005-01-03,239,2005-04-27,115,29,22.5,FALSE,FALSE,FALSE
2006,884,131,135,2006-01-13,241,2006-04-29,107,24,28.4,FALSE,FALSE,FALSE
2007,1074,136,142,2007-01-20,229,2007-04-17,88,19,34.7,FALSE,FALSE,FALSE
2008,782,119,139,2008-01-17,249,2008-05-06,111,19,33,FALSE,FALSE,FALSE
2009,955,124,159,2009-02-06,239,2009-04-27,81,21,29.4,FALSE,FALSE,FALSE
2010,989,126,115,2009-12-24,231,2010-04-19,117,21,32.4,FALSE,FALSE,FALSE
2011,782,131,129,2011-01-07,243,2011-05-01,115,23,31.3,FALSE,FALSE,FALSE
2012,1147,145,139,2012-01-17,227,2012-04-14,89,18,35.8,FALSE,FALSE,FALSE
2013,1739,166,133,2013-01-11,237,2013-04-25,105,27,26.8,FALSE,FALSE,FALSE
2014,1371,154,132,2014-01-10,237,2014-04-25,106,25,27.6,FALSE,FALSE,FALSE
2015,1512,165,146,2015-01-24,240,2015-04-28,95,25,25.5,FALSE,FALSE,FALSE
2016,1706,176,145,2016-01-23,234,2016-04-21,90,23,32.2,FALSE,FALSE,FALSE
2017,993,128,143,2017-01-21,227,2017-04-15,85,21,31.1,FALSE,FALSE,FALSE
2018,1066,144,152,2018-01-30,236,2018-04-24,85,20,33.5,FALSE,FALSE,FALSE
2019,1298,151,144,2019-01-22,235,2019-04-23,92,21,32.1,FALSE,FALSE,FALSE
2020,1151,135,153,2020-01-31,235,2020-04-22,83,17,35.7,FALSE,FALSE,FALSE
2021,596,119,142,2021-01-20,238,2021-04-26,97,20,33.9,FALSE,FALSE,FALSE
2022,1164,125,149,2022-01-27,210,2022-03-29,62,14,42.9,FALSE,FALSE,FALSE
2023,700,128,150,2023-01-28,259,2023-05-17,110,25,25.1,FALSE,FALSE,FALSE
2024,1240,143,153,2024-01-31,237,2024-04-24,85,16,39.1,FALSE,FALSE,FALSE
2025,419,104,153,2025-01-31,240,2025-04-28,88,20,31.7,FALSE,FALSE,FALSE
2026,1086,135,151,2026-01-29,241,2026-04-29,91,22,30.8,FALSE,TRUE,FALSE
2027,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE
