celda_id,dtot,ini_dia,fin_dia,valida,lon,anio_inicio,anio_fin
c0805_m08295,3,NA,NA,FALSE,NA,2002,2025
c0815_m08295,11,NA,NA,FALSE,NA,2002,2025
c0815_m08305,2,NA,NA,FALSE,NA,2002,2025
c0825_m08295,2,NA,NA,FALSE,NA,2002,2025
c0825_m08305,6,NA,NA,FALSE,NA,2002,2025
c0825_m08315,6,NA,NA,FALSE,NA,2002,2025
c0835_m08295,4,NA,NA,FALSE,NA,2002,2025
c0835_m08305,31,174,211,TRUE,38,2002,2025
c0835_m08315,34,177,211,TRUE,35,2002,2025
c0835_m08335,8,NA,NA,FALSE,NA,2002,2025
c0835_m08345,12,NA,NA,FALSE,NA,2002,2025
c0845_m08285,3,NA,NA,FALSE,NA,2002,2025
c0845_m08295,19,NA,NA,FALSE,NA,2002,2025
c0845_m08305,83,161,223,TRUE,63,2002,2025
c0845_m08315,70,166,235,TRUE,70,2002,2025
c0845_m08335,15,NA,NA,FALSE,NA,2002,2025
c0845_m08345,12,NA,NA,FALSE,NA,2002,2025
c0855_m08285,4,NA,NA,FALSE,NA,2002,2025
c0855_m08295,30,161,209,TRUE,49,2002,2025
c0855_m08305,48,177,219,TRUE,43,2002,2025
c0855_m08315,16,NA,NA,FALSE,NA,2002,2025
c0855_m08345,9,NA,NA,FALSE,NA,2002,2025
c0855_m08355,5,NA,NA,FALSE,NA,2002,2025
c0855_m08375,1,NA,NA,FALSE,NA,2002,2025
c0865_m08295,4,NA,NA,FALSE,NA,2002,2025
c0865_m08305,7,NA,NA,FALSE,NA,2002,2025
c0865_m08315,5,NA,NA,FALSE,NA,2002,2025
c0865_m08325,3,NA,NA,FALSE,NA,2002,2025
c0865_m08335,1,NA,NA,FALSE,NA,2002,2025
c0865_m08355,9,NA,NA,FALSE,NA,2002,2025
c0865_m08365,7,NA,NA,FALSE,NA,2002,2025
c0865_m08375,5,NA,NA,FALSE,NA,2002,2025
c0875_m08295,8,NA,NA,FALSE,NA,2002,2025
c0875_m08305,2,NA,NA,FALSE,NA,2002,2025
c0875_m08315,15,NA,NA,FALSE,NA,2002,2025
c0875_m08335,30,155,209,TRUE,55,2002,2025
c0875_m08345,20,NA,NA,FALSE,NA,2002,2025
c0875_m08355,22,NA,NA,FALSE,NA,2002,2025
c0875_m08365,2,NA,NA,FALSE,NA,2002,2025
c0885_m08285,7,NA,NA,FALSE,NA,2002,2025
c0885_m08295,12,NA,NA,FALSE,NA,2002,2025
c0885_m08305,39,165,202,TRUE,38,2002,2025
c0885_m08315,74,166,205,TRUE,40,2002,2025
c0885_m08325,110,176,208,TRUE,33,2002,2025
c0885_m08335,113,172,216,TRUE,45,2002,2025
c0885_m08345,131,149,210,TRUE,62,2002,2025
c0885_m08355,94,160,212,TRUE,53,2002,2025
c0885_m08365,10,NA,NA,FALSE,NA,2002,2025
c0895_m08295,1,NA,NA,FALSE,NA,2002,2025
c0895_m08305,42,177,216,TRUE,40,2002,2025
c0895_m08315,130,150,216,TRUE,67,2002,2025
c0895_m08325,187,169,218,TRUE,50,2002,2025
c0895_m08335,162,168,219,TRUE,52,2002,2025
c0895_m08345,106,172,213,TRUE,42,2002,2025
c0895_m08355,46,145,260,TRUE,116,2002,2025
c0895_m08365,34,165,221,TRUE,57,2002,2025
c0905_m08305,1,NA,NA,FALSE,NA,2002,2025
c0905_m08315,33,169,210,TRUE,42,2002,2025
c0905_m08325,204,168,205,TRUE,38,2002,2025
c0905_m08335,178,146,208,TRUE,63,2002,2025
c0905_m08345,130,159,216,TRUE,58,2002,2025
c0905_m08355,98,184,226,TRUE,43,2002,2025
c0905_m08365,6,NA,NA,FALSE,NA,2002,2025
c0905_m08375,1,NA,NA,FALSE,NA,2002,2025
c0915_m08315,43,153,208,TRUE,56,2002,2025
c0915_m08325,257,163,206,TRUE,44,2002,2025
c0915_m08335,174,129,202,TRUE,74,2002,2025
c0915_m08345,210,113,199,TRUE,87,2002,2025
c0915_m08355,144,109,211,TRUE,103,2002,2025
c0915_m08365,32,191,225,TRUE,35,2002,2025
c0915_m08375,7,NA,NA,FALSE,NA,2002,2025
c0915_m08385,1,NA,NA,FALSE,NA,2002,2025
c0925_m08325,34,181,219,TRUE,39,2002,2025
c0925_m08335,245,156,208,TRUE,53,2002,2025
c0925_m08345,4,NA,NA,FALSE,NA,2002,2025
c0925_m08355,27,NA,NA,FALSE,NA,2002,2025
c0925_m08365,54,130,212,TRUE,83,2002,2025
c0925_m08375,36,159,210,TRUE,52,2002,2025
c0925_m08395,10,NA,NA,FALSE,NA,2002,2025
c0935_m08335,8,NA,NA,FALSE,NA,2002,2025
c0935_m08355,2,NA,NA,FALSE,NA,2002,2025
c0935_m08365,3,NA,NA,FALSE,NA,2002,2025
c0935_m08375,7,NA,NA,FALSE,NA,2002,2025
c0935_m08385,3,NA,NA,FALSE,NA,2002,2025
c0935_m08395,6,NA,NA,FALSE,NA,2002,2025
c0935_m08405,27,NA,NA,FALSE,NA,2002,2025
c0935_m08415,30,174,223,TRUE,50,2002,2025
c0945_m08295,17,NA,NA,FALSE,NA,2002,2025
